home_win,home_cur_year_avg_weighted,home_total_points,away_cur_year_avg_weighted,away_total_points,home_last_year_avg,away_last_year_avg,home_two_year_ago_avg,away_two_year_ago_avg,CAF,CONCACAF,CONMEBOL,OFC,UEFA,gdp_pp_diff,rank_diff
0,320.14,594.72,228.05,483.91,294.57,245.05,243.16,259.17,0,0,0,0,0,-25586.0,-25
1,176.91,340.65,171.15,412.54,187.16,328.17,152.36,179.55,0,0,0,0,0,-12982.0,18
1,182.19,383.74,265.6,490.91,254.62,211.95,158.89,302.6,0,0,0,0,0,-12982.0,18
1,384.89,588.41,246.8,503.7,190.72,265.6,254.62,211.95,0,0,0,0,0,-12982.0,-14
2,97.85,248.72,193.45,449.58,203.43,256.74,124.95,255.66,0,0,0,0,0,-50459.0,52
2,287.67,568.57,377.77,564.78,331.28,241.93,234.71,110.04,0,0,0,0,0,-61255.0,-1
2,0.0,52.3,213.96,476.21,0.0,271.9,112.02,326.13,0,0,0,0,0,1424.0,116
2,73.23,256.17,251.15,483.58,271.62,246.78,88.03,277.9,0,0,0,0,0,-67564.0,49
1,372.92,822.08,183.25,430.15,387.16,256.84,409.04,233.47,0,0,0,0,1,-35350.0,-50
1,520.63,750.01,291.77,499.05,103.28,277.9,354.85,145.7,0,0,0,0,1,-59147.0,-34
1,329.82,586.54,253.63,495.73,205.65,259.17,301.32,277.9,0,0,0,0,0,-28858.0,-15
2,164.75,306.07,259.17,464.06,140.63,277.9,55.58,131.58,0,0,0,0,1,-36310.0,38
2,278.81,563.9,259.17,464.06,243.07,277.9,338.49,131.58,0,0,1,0,0,-58460.0,-18
0,135.58,151.06,253.63,495.73,0.0,259.17,51.6,277.9,0,0,0,0,0,-63237.0,73
1,260.31,354.43,228.05,483.91,138.76,245.05,0.0,259.17,0,0,0,0,0,-67564.0,25
0,157.56,319.08,861.13,1499.09,186.44,617.76,96.97,771.01,0,0,0,0,0,37391.0,101
2,754.19,1288.47,500.95,1232.88,539.82,790.3,631.58,636.15,0,0,1,0,0,10133.0,-2
0,337.65,861.95,790.3,1420.19,684.93,636.15,407.37,729.69,0,1,0,0,0,45040.0,20
0,373.96,802.75,597.24,1328.16,306.4,821.59,650.42,574.37,0,1,0,0,0,45040.0,28
0,373.96,802.75,597.24,1328.16,306.4,821.59,650.42,574.37,0,1,0,0,0,45040.0,28
2,426.07,740.29,445.71,1105.82,360.57,699.86,253.52,459.85,0,0,0,0,0,35427.0,24
0,524.56,1185.16,445.71,1105.82,862.9,699.86,290.76,459.85,0,0,0,0,1,29095.0,-4
0,218.61,626.45,574.37,1137.04,344.74,684.51,312.65,603.97,0,0,0,0,0,28204.0,38
