,Player,Country,Pos,Birthday,Age,Caps,Club,Club Country
665,José Fernando Cuadrado,Colombia,GK,1985-06-01,33,1,Once Caldas,Colombia
666,Dávinson Sánchez,Colombia,DF,1996-06-12,22,9,Tottenham Hotspur,England
667,Eiji Kawashima,Japan,GK,1983-03-20,35,84,Metz,France
668,Naomichi Ueda,Japan,DF,1994-10-24,23,4,Kashima Antlers,Japan
669,Gen Shoji,Japan,DF,1992-12-11,25,11,Kashima Antlers,Japan
670,Keisuke Honda,Japan,MF,1986-06-13,32,95,Pachuca,Mexico
671,Yuto Nagatomo,Japan,DF,1986-09-12,31,105,Galatasaray,Turkey
672,Wataru Endo,Japan,DF,1993-02-09,25,12,Urawa Red Diamonds,Japan
673,Gaku Shibasaki,Japan,MF,1992-05-28,26,18,Getafe,Spain
674,Genki Haraguchi,Japan,MF,1991-05-09,27,33,Fortuna Düsseldorf,Germany
675,Shinji Okazaki,Japan,FW,1986-04-16,32,113,Leicester City,England
676,Shinji Kagawa,Japan,MF,1989-03-17,29,92,Borussia Dortmund,Germany
677,Takashi Usami,Japan,MF,1992-05-06,26,24,Fortuna Düsseldorf,Germany
678,Masaaki Higashiguchi,Japan,GK,1986-05-12,32,5,Gamba Osaka,Japan
679,Yoshinori Muto,Japan,FW,1992-07-15,25,24,Mainz 05,Germany
680,Takashi Inui,Japan,MF,1988-06-02,30,27,Eibar,Spain
681,Yuya Osako,Japan,FW,1990-05-18,28,29,1. FC Köln,Germany
682,Hotaru Yamaguchi,Japan,MF,1990-10-06,27,42,Cerezo Osaka,Japan
683,Makoto Hasebe,Japan,MF,1984-01-18,34,110,Eintracht Frankfurt,Germany
684,Ryota Oshima,Japan,MF,1993-01-23,25,5,Kawasaki Frontale,Japan
685,Hiroki Sakai,Japan,DF,1990-04-12,28,43,Marseille,France
686,Tomoaki Makino,Japan,DF,1987-05-11,31,32,Urawa Red Diamonds,Japan
687,Gōtoku Sakai,Japan,DF,1991-03-14,27,41,Hamburger SV,Germany
688,Maya Yoshida,Japan,DF,1988-08-24,29,82,Southampton,England
689,Kosuke Nakamura,Japan,GK,1995-02-27,23,4,Kashiwa Reysol,Japan
690,Wojciech Szczęsny,Poland,GK,1990-04-18,28,35,Juventus,Italy
691,Michał Pazdan,Poland,DF,1987-09-21,30,33,Legia Warsaw,Poland
692,Artur Jędrzejczyk,Poland,DF,1987-11-04,30,36,Legia Warsaw,Poland
693,Thiago Cionek,Poland,DF,1986-04-21,32,19,SPAL,Italy
694,Jan Bednarek,Poland,DF,1996-04-12,22,3,Southampton,England
695,Jacek Góralski,Poland,MF,1992-09-21,25,5,Ludogorets Razgrad,Bulgaria
696,Arkadiusz Milik,Poland,FW,1994-02-28,24,40,Napoli,Italy
697,Karol Linetty,Poland,MF,1995-02-02,23,20,Sampdoria,Italy
698,Robert Lewandowski,Poland,FW,1988-08-21,29,95,Bayern Munich,Germany
699,Grzegorz Krychowiak,Poland,MF,1990-01-29,28,51,West Bromwich Albion,England
700,Kamil Grosicki,Poland,MF,1988-06-08,30,57,Hull City,England
701,Bartosz Białkowski,Poland,GK,1987-07-06,30,1,Ipswich Town,England
702,Maciej Rybus,Poland,MF,1989-08-19,28,51,Lokomotiv Moscow,Russia
703,Łukasz Teodorczyk,Poland,FW,1991-06-03,27,17,Anderlecht,Belgium
704,Kamil Glik,Poland,DF,1988-02-03,30,57,Monaco,France
705,Jakub Błaszczykowski,Poland,MF,1985-12-14,32,99,VfL Wolfsburg,Germany
706,Sławomir Peszko,Poland,MF,1985-02-19,33,43,Lechia Gdańsk,Poland
707,Bartosz Bereszyński,Poland,DF,1992-07-12,25,8,Sampdoria,Italy
708,Piotr Zieliński,Poland,MF,1994-05-20,24,33,Napoli,Italy
709,Łukasz Piszczek,Poland,DF,1985-06-03,33,63,Borussia Dortmund,Germany
710,Rafał Kurzawa,Poland,MF,1993-01-29,25,3,Górnik Zabrze,Poland
711,Łukasz Fabiański,Poland,GK,1985-04-18,33,45,Swansea City,Wales
712,Dawid Kownacki,Poland,FW,1997-03-14,21,2,Sampdoria,Italy
713,Abdoulaye Diallo,Senegal,GK,1992-03-30,26,17,Rennes,France
714,Adama Mbengue,Senegal,DF,1993-12-01,24,6,Caen,France
715,Kalidou Koulibaly,Senegal,DF,1991-06-20,26,26,Napoli,Italy
716,Kara Mbodji,Senegal,DF,1989-11-22,28,52,Anderlecht,Belgium
717,Idrissa Gueye,Senegal,MF,1989-09-26,28,61,Everton,England
718,Salif Sané,Senegal,MF,1990-08-25,27,22,Hannover 96,Germany
719,Moussa Sow,Senegal,FW,1986-01-19,32,51,Bursaspor,Turkey
720,Cheikhou Kouyaté,Senegal,MF,1989-12-21,28,48,West Ham United,England
721,Mame Biram Diouf,Senegal,FW,1987-12-16,30,49,Stoke City,England
722,Sadio Mané,Senegal,FW,1992-04-10,26,53,Liverpool,England
723,Cheikh N'Doye,Senegal,MF,1986-03-29,32,26,Birmingham City,England
724,Youssouf Sabaly,Senegal,DF,1993-03-05,25,5,Bordeaux,France
725,Alfred N'Diaye,Senegal,MF,1990-03-06,28,21,Wolverhampton Wanderers,England
726,Moussa Konaté,Senegal,FW,1993-04-03,25,28,Amiens,France
727,Diafra Sakho,Senegal,FW,1989-12-24,28,12,Rennes,France
728,Khadim N'Diaye,Senegal,GK,1985-04-05,33,26,Horoya,Guinea
729,Badou Ndiaye,Senegal,MF,1990-10-27,27,20,Stoke City,England
730,Ismaïla Sarr,Senegal,FW,1998-02-25,20,16,Rennes,France
731,M'Baye Niang,Senegal,FW,1994-12-19,23,7,Torino,Italy
732,Keita Baldé,Senegal,FW,1995-03-08,23,19,Monaco,France
733,Lamine Gassama,Senegal,DF,1989-10-20,28,36,Alanyaspor,Turkey
734,Moussa Wagué,Senegal,DF,1998-10-04,19,10,Eupen,Belgium
735,Alfred Gomis,Senegal,GK,1993-09-05,24,1,SPAL,Italy
