home_win,attack_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,defence_diff,full_age_diff,goalkeeeper_overall_diff,growth_diff,midfield_diff,overall_diff,prestige_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,attack_home_defence_away_diff,attack_away_defence_home_diff,cur_year_avg_weighted_diff,cur_year_avg_diff,last_year_avg_weighted_diff,last_year_avg_diff,previous_points_diff,rank_change_diff,rank_diff,three_year_ago_avg_diff,three_year_ago_weighted_diff,total_points_diff,two_year_ago_avg_diff,two_year_ago_weighted_diff
2,9.0,-0.0,20.0,-0.0,25.0,25.0,30.0,20.0,-5.0,5.0,12.0,1.5300000000000011,-1.0,-1.766666666666667,13.0,9.0,5.0,1.7300000000000004,-0.0,-0.0,11.0,-10.0,-0.0,-0.0,-0.0,-0.0,118.0,-0.0,-6.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,9.0,-0.0,-15.0,-20.0,25.0,40.0,26.0,10.0,-35.0,-25.0,6.0,1.0,-5.0,-0.5200000000000005,9.0,6.0,5.0,1.0,-0.0,-0.0,11.0,-4.0,-0.0,-0.0,-0.0,-0.0,308.0,-0.0,-11.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-2.0,-0.0,20.0,-0.0,20.0,25.0,30.0,20.0,-20.0,-10.0,-3.0,0.2700000000000031,-4.0,3.166666666666666,-4.0,-4.0,-7.0,-0.17999999999999972,-0.0,-0.0,0.0,5.0,-0.0,-0.0,-0.0,-0.0,-90.0,-2.0,11.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-4.0,-32.0,18.0,20.0,28.0,14.0,26.0,14.0,6.0,6.0,-8.0,2.0500000000000007,5.0,3.3249999999999997,-8.0,-3.0,5.0,4.359999999999999,-0.0,-0.0,-5.0,7.0,-0.0,-0.0,-0.0,-0.0,-61.0,-1.0,5.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,6.0,-32.0,10.0,20.0,5.0,3.0,26.0,-10.0,14.0,8.0,3.0,-0.6499999999999986,10.0,1.7916666666666665,-0.0,4.0,13.0,-0.4499999999999993,-0.0,-0.0,5.0,-4.0,-0.0,-0.0,-0.0,-0.0,163.0,-1.0,-9.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,1.0,33.0,17.0,20.0,33.0,5.0,36.0,-1.0,22.0,-9.0,-2.0,1.5500000000000007,-2.0,-1.375,-2.0,-3.0,-1.0,2.2699999999999996,-0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-308.0,3.0,30.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-15.0,-32.0,18.0,20.0,38.0,14.0,26.0,14.0,26.0,-9.0,-18.0,0.5199999999999996,-14.0,4.791666666666668,-22.0,-16.0,-0.0,3.1799999999999997,-0.0,-0.0,-16.0,17.0,-0.0,-0.0,-0.0,-0.0,-531.0,-1.0,63.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-6.0,-0.0,20.0,-0.0,35.0,-5.0,10.0,15.0,10.0,-5.0,-3.0,-2.400000000000002,-7.0,1.7000000000000002,-7.0,-5.0,-3.0,-3.370000000000001,-0.0,-0.0,-2.0,7.0,-0.0,-0.0,-0.0,-0.0,-469.0,-10.0,55.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-4.0,-0.0,20.0,-5.0,25.0,-5.0,5.0,15.0,-0.0,-10.0,1.0,-2.0400000000000027,-4.0,-0.666666666666667,1.0,-2.0,-3.0,-4.27,-0.0,-0.0,0.0,3.0,-0.0,-0.0,-0.0,-0.0,-551.0,1.0,55.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,-3.0,-0.0,5.0,20.0,-0.0,-2.0,-5.0,10.0,10.0,5.0,-3.0,-1.7300000000000004,-7.0,1.2000000000000002,-7.0,-3.0,-1.0,-3.1000000000000014,-0.0,-0.0,-2.0,4.0,-0.0,-0.0,-0.0,-0.0,-387.0,2.0,42.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,2.0,50.0,-29.0,-14.0,-9.0,-31.0,-14.0,6.0,22.0,-9.0,1.0,0.33999999999999986,-9.0,-3.259420289855073,4.0,-0.0,-4.0,0.629999999999999,7.393478260869564,34.17391304347826,3.0,0.0,-0.0,-0.0,-0.0,-0.0,94.0,-5.0,-6.0,-0.0,-0.0,-0.0,-0.0,-0.0
0,9.0,-0.0,-35.0,15.0,-20.0,3.0,-5.0,-15.0,15.0,10.0,9.0,-0.5299999999999976,10.0,-2.3,9.0,9.0,8.0,-0.10000000000000142,-0.0,-0.0,10.0,-8.0,-0.0,-0.0,-0.0,-0.0,711.0,-2.0,-22.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,3.0,-0.0,5.0,-5.0,-10.0,-5.0,-5.0,-0.0,-15.0,-10.0,6.0,-3.3000000000000007,-1.0,-0.2666666666666657,5.0,3.0,1.0,-6.09,-0.0,-0.0,5.0,-4.0,-0.0,-0.0,-0.0,-0.0,-258.0,5.0,23.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-1.0,-0.0,-0.0,-0.0,-0.0,-10.0,-0.0,-0.0,-0.0,-10.0,-1.0,-0.6600000000000001,3.0,0.39770114942528867,-2.0,-1.0,2.0,-1.2800000000000011,-0.0,-0.0,1.0,3.0,-0.0,-0.0,-0.0,-0.0,-245.0,1.0,27.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-0.0,-0.0,5.0,-0.0,-5.0,-5.0,5.0,-0.0,10.0,-20.0,-1.0,-0.6699999999999982,-10.0,0.5407407407407421,1.0,-1.0,-1.0,-2.0,-0.0,-0.0,2.0,3.0,-0.0,-0.0,-0.0,-0.0,-392.0,-1.0,51.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,9.0,-0.0,-30.0,-0.0,-0.0,-0.0,5.0,-10.0,5.0,5.0,8.0,-1.4599999999999973,8.0,0.845977011494254,7.0,7.0,4.0,-1.5500000000000007,-0.0,-0.0,11.0,-6.0,-0.0,-0.0,-0.0,-0.0,304.0,-2.0,-26.0,-0.0,-0.0,-0.0,-0.0,-0.0
