team,date,wage_euros_thousands,value_euros_millions,growth,goalkeeeper_overall
Peru,2017-10-09 00:00:00+00:00,7.913043478260869,2.2869565217391306,3.608695652173913,74
Peru,2017-10-12 00:00:00+00:00,7.956521739130435,2.2978260869565217,3.608695652173913,74
Peru,2017-10-16 00:00:00+00:00,7.956521739130435,2.2978260869565217,3.608695652173913,74
Peru,2017-10-19 00:00:00+00:00,7.913043478260869,2.276086956521739,3.608695652173913,74
Peru,2017-10-23 00:00:00+00:00,7.304347826086956,1.8847826086956523,3.782608695652174,74
Peru,2017-10-26 00:00:00+00:00,7.304347826086956,1.8891304347826088,3.782608695652174,74
Peru,2017-10-30 00:00:00+00:00,7.304347826086956,1.8891304347826088,3.782608695652174,74
Peru,2017-11-02 00:00:00+00:00,7.695652173913044,1.9760869565217392,3.782608695652174,74
Peru,2017-11-06 00:00:00+00:00,7.695652173913044,1.9760869565217392,3.782608695652174,74
Peru,2017-11-13 00:00:00+00:00,7.695652173913044,1.9760869565217392,3.782608695652174,74
Peru,2017-11-16 00:00:00+00:00,8.173913043478262,2.3239130434782607,3.4347826086956523,74
Peru,2017-11-20 00:00:00+00:00,8.173913043478262,2.3239130434782607,3.4347826086956523,74
Peru,2017-11-23 00:00:00+00:00,8.173913043478262,2.3239130434782607,3.4347826086956523,74
Peru,2017-11-27 00:00:00+00:00,8.173913043478262,2.3239130434782607,3.4347826086956523,74
Peru,2017-11-30 00:00:00+00:00,8.173913043478262,2.3239130434782607,3.4347826086956523,74
Peru,2017-12-04 00:00:00+00:00,8.173913043478262,2.3239130434782607,3.4347826086956523,74
Peru,2017-12-07 00:00:00+00:00,8.347826086956522,2.367391304347826,3.391304347826087,74
Peru,2017-12-11 00:00:00+00:00,8.347826086956522,2.367391304347826,3.391304347826087,74
Peru,2017-12-14 00:00:00+00:00,8.347826086956522,2.367391304347826,3.391304347826087,74
Peru,2017-12-18 00:00:00+00:00,8.347826086956522,2.367391304347826,3.391304347826087,74
Peru,2017-12-21 00:00:00+00:00,8.347826086956522,2.367391304347826,3.391304347826087,74
Peru,2017-12-28 00:00:00+00:00,8.347826086956522,2.367391304347826,3.391304347826087,74
Peru,2018-01-02 00:00:00+00:00,8.347826086956522,2.367391304347826,3.391304347826087,74
Peru,2018-01-04 00:00:00+00:00,8.73913043478261,2.5880434782608694,3.391304347826087,74
Peru,2018-01-08 00:00:00+00:00,8.73913043478261,2.5880434782608694,3.391304347826087,74
Peru,2018-01-11 00:00:00+00:00,9.130434782608695,2.6891304347826086,3.391304347826087,74
Peru,2018-01-15 00:00:00+00:00,9.130434782608695,2.6891304347826086,3.391304347826087,74
Peru,2018-01-18 00:00:00+00:00,9.043478260869565,2.76195652173913,3.130434782608696,74
Peru,2018-01-22 00:00:00+00:00,9.043478260869565,2.76195652173913,3.130434782608696,74
Peru,2018-01-25 00:00:00+00:00,9.043478260869565,2.76195652173913,3.130434782608696,74
Peru,2018-01-29 00:00:00+00:00,9.434782608695652,2.864130434782609,3.130434782608696,74
Peru,2018-02-01 00:00:00+00:00,9.695652173913043,2.9228260869565217,3.130434782608696,74
Peru,2018-02-05 00:00:00+00:00,9.695652173913043,2.9228260869565217,3.130434782608696,74
Peru,2018-02-08 00:00:00+00:00,9.695652173913043,2.8836956521739125,3.0869565217391304,74
Peru,2018-02-12 00:00:00+00:00,9.695652173913043,2.8836956521739125,3.0869565217391304,74
Peru,2018-02-15 00:00:00+00:00,9.695652173913043,2.9097826086956515,3.0869565217391304,74
Peru,2018-02-19 00:00:00+00:00,9.695652173913043,2.9097826086956515,3.0869565217391304,74
Peru,2018-02-22 00:00:00+00:00,9.695652173913043,2.9163043478260864,3.0869565217391304,74
Peru,2018-02-26 00:00:00+00:00,9.695652173913043,2.9163043478260864,3.0869565217391304,74
Peru,2018-03-01 00:00:00+00:00,9.695652173913043,2.9163043478260864,3.0869565217391304,74
Peru,2018-03-05 00:00:00+00:00,9.695652173913043,2.9163043478260864,3.0869565217391304,74
Peru,2018-03-08 00:00:00+00:00,9.695652173913043,2.9163043478260864,3.0869565217391304,74
Peru,2018-03-12 00:00:00+00:00,9.695652173913043,2.9163043478260864,3.0869565217391304,74
Peru,2018-03-15 00:00:00+00:00,9.73913043478261,2.927173913043478,3.260869565217391,74
Peru,2018-03-19 00:00:00+00:00,9.73913043478261,2.927173913043478,3.260869565217391,74
Peru,2018-03-22 00:00:00+00:00,9.73913043478261,2.927173913043478,3.217391304347826,74
Peru,2018-03-26 00:00:00+00:00,9.73913043478261,2.927173913043478,3.217391304347826,74
Peru,2018-03-29 00:00:00+00:00,9.565217391304348,2.8836956521739125,3.217391304347826,74
Peru,2018-04-03 00:00:00+00:00,9.565217391304348,2.8836956521739125,3.217391304347826,74
Peru,2018-04-05 00:00:00+00:00,10.217391304347826,2.9141304347826082,3.217391304347826,74
Peru,2018-04-09 00:00:00+00:00,10.217391304347826,2.9141304347826082,3.217391304347826,74
Peru,2018-04-12 00:00:00+00:00,10.217391304347826,2.901086956521739,3.1739130434782608,74
Peru,2018-04-16 00:00:00+00:00,10.217391304347826,2.901086956521739,3.1739130434782608,74
Peru,2018-04-19 00:00:00+00:00,10.217391304347826,2.901086956521739,3.1739130434782608,74
Peru,2018-04-23 00:00:00+00:00,10.217391304347826,2.901086956521739,3.1739130434782608,74
Peru,2018-04-26 00:00:00+00:00,10.217391304347826,2.901086956521739,3.1739130434782608,74
Peru,2018-04-30 00:00:00+00:00,10.217391304347826,2.901086956521739,3.1739130434782608,74
Peru,2018-05-03 00:00:00+00:00,10.217391304347826,2.8336956521739127,3.130434782608696,74
Peru,2018-05-08 00:00:00+00:00,10.217391304347826,2.8336956521739127,3.130434782608696,74
Peru,2018-05-10 00:00:00+00:00,10.217391304347826,2.8336956521739127,3.130434782608696,74
Peru,2018-05-14 00:00:00+00:00,10.217391304347826,2.8336956521739127,3.130434782608696,74
Peru,2018-05-17 00:00:00+00:00,10.217391304347826,2.8315217391304346,3.0434782608695654,74
Peru,2018-05-22 00:00:00+00:00,10.217391304347826,2.8315217391304346,3.0434782608695654,74
Peru,2018-05-24 00:00:00+00:00,10.217391304347826,2.8663043478260875,3.0434782608695654,74
Peru,2018-05-28 00:00:00+00:00,10.217391304347826,2.8663043478260875,3.0434782608695654,74
Peru,2018-05-31 00:00:00+00:00,10.217391304347826,2.8663043478260875,3.0434782608695654,74
Peru,2018-06-04 00:00:00+00:00,10.217391304347826,2.8663043478260875,3.0434782608695654,74
Peru,2018-06-07 00:00:00+00:00,10.217391304347826,2.8663043478260875,3.0434782608695654,74
Peru,2018-06-11 00:00:00+00:00,10.217391304347826,2.8663043478260875,3.0434782608695654,74
