game_date,home_team,away_team,home_score,away_score,tournament,country,neutral,overall_diff,attack_away_defence_home_diff,attack_diff,attack_home_defence_away_diff,defence_diff,midfield_diff,rank_diff,prestige_diff,growth_diff,full_age_diff,start_age_diff,value_euros_millions_diff,wage_euros_thousands_diff,goalkeeper_overall_diff,bup_dribbling_diff,bup_passing_diff,bup_speed_diff,cc_crossing_diff,cc_passing_diff,cc_shooting_diff,d_aggresion_diff,d_pressure_diff,d_width_diff,home_win,wins_past_1_games_diff,wins_home_against_away_1_games,wins_past_2_games_diff,wins_home_against_away_2_games,wins_past_3_games_diff,wins_home_against_away_3_games,wins_past_4_games_diff,wins_home_against_away_4_games,wins_past_5_games_diff,wins_home_against_away_5_games,score_past_1_games_diff,score_conceded_past_1_games_diff,score_past_2_games_diff,score_conceded_past_2_games_diff,score_past_3_games_diff,score_conceded_past_3_games_diff,score_past_4_games_diff,score_conceded_past_4_games_diff,score_past_5_games_diff,score_conceded_past_5_games_diff
2006-11-15 00:00:00+00:00,Belgium,Poland,0,1,UEFA Euro qualification,Belgium,False,1.0,-1.0,-1.0,5.0,7.0,-0.0,20.0,-0.0,0.3913043478260865,-2.129999999999999,-2.18,-0.0,-0.0,-12.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,-1.0,0.0,-0.5,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,-1.0,1.0,-1.0,0.5,-1.0,-0.3333333333333335,-1.0,-0.3333333333333335,-1.0,-0.3333333333333335
2006-11-15 00:00:00+00:00,Spain,Romania,0,1,Friendly,Spain,False,12.0,-7.0,11.0,13.0,9.0,15.0,-13.0,12.0,0.3043478260869561,-0.4800000000000004,-1.7300000000000004,-0.0,-0.0,15.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,1.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,-0.5,0.0,-0.6666666666666667,0.0,-0.6666666666666667,0.0,-0.6666666666666667,0.0
2006-11-15 00:00:00+00:00,Serbia,Norway,1,1,Friendly,Serbia,False,2.0,2.0,3.0,4.0,-1.0,-2.0,-19.0,3.0,0.5652173913043477,-3.0399999999999987,-2.09,-0.0,-0.0,3.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
2007-01-18 00:00:00+00:00,Ecuador,Sweden,2,1,Friendly,Ecuador,False,-6.0,10.0,-7.0,-3.0,-6.0,-7.0,15.0,-0.0,6.17391304347826,-0.3500000000000014,0.629999999999999,-0.0,-0.0,-18.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,2.0,-1.0,2.0,-1.0,2.0,-1.0,2.0,-1.0,2.0
2007-01-21 00:00:00+00:00,Ecuador,Sweden,1,1,Friendly,Ecuador,False,-6.0,10.0,-7.0,-3.0,-6.0,-7.0,15.0,-0.0,6.17391304347826,-0.3500000000000014,0.629999999999999,-0.0,-0.0,-18.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
2007-02-06 00:00:00+00:00,Greece,Korea Republic,0,1,Friendly,England,True,1.0,-3.0,2.0,2.0,3.0,3.0,-35.0,3.0,0.1739130434782612,2.4800000000000004,1.91,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-06 00:00:00+00:00,Australia,Denmark,1,3,Friendly,England,True,-2.0,4.0,-2.0,0.0,-2.0,-3.0,16.0,-1.0,-0.0,0.259999999999998,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,0.0,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2007-02-06 00:00:00+00:00,Portugal,Brazil,2,0,Friendly,England,True,-4.0,3.0,-6.0,-7.0,-4.0,-4.0,7.0,-5.0,-0.08000000000000007,1.0799999999999983,-0.0,-0.0,-0.0,-11.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333331,0.0,0.08333333333333331,0.0,-1.0,1.0,-0.5,1.0,-1.0000000000000002,1.3333333333333335,-1.0000000000000002,1.75,-1.0000000000000002,1.75
2007-02-06 00:00:00+00:00,Northern Ireland,Wales,0,0,Friendly,Northern Ireland,False,-3.0,12.0,-13.0,-4.0,-3.0,-2.0,-27.0,-4.0,-2.7826086956521747,0.9600000000000009,-0.17999999999999972,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,0.5,-2.0,0.5,-2.0,0.5,-2.0,0.5,-2.0
2007-02-07 00:00:00+00:00,France,Argentina,0,1,Friendly,France,False,2.0,0.0,5.0,6.0,1.0,-1.0,1.0,-0.0,0.4678260869565216,1.0699999999999967,1.5500000000000007,-0.0,-0.0,8.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1,1.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,-1.0,0.0,-2.0,0.6666666666666666,-2.0,0.6666666666666666,-2.0,0.6666666666666666,-2.0
